0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:50 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:55 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:56 +0900] "GET /Day4/board/like_ok.jsp?b_idx=3 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:06:59 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:28:58 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:28:59 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:00 +0900] "GET /Day4/board/like_ok.jsp?b_idx=3 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:02 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:05 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:08 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:08 +0900] "GET /Day4/board/write.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:51 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:51 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:51 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:51 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:53 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1321
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:53 +0900] "GET /Day4/board/view.jsp?b_idx=3 HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:29:54 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:30:00 +0900] "GET /Day4/board/write.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:30:03 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:30:04 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:30:05 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:30:21 +0900] "POST /Day4/board/edit_ok.jsp HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:31:37 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:31:38 +0900] "GET /Day4/board/write.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:31:46 +0900] "POST /Day4/board/write_ok.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:31:49 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:31:53 +0900] "GET /Day4/board/view.jsp?b_idx=6 HTTP/1.1" 200 1289
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:31:55 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:35:28 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:35:28 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:35:29 +0900] "GET /Day4/board/list.jsp HTTP/1.1" 200 1833
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:35:33 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:38:53 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:38:54 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [19/Jan/2022:10:38:56 +0900] "GET /Day4/board/edit.jsp HTTP/1.1" 200 753
